description,_source_file,aprlGuid,automationAvailable,learnMoreLink,longDescription,pgVerified,potentialBenefits,recommendationControl,recommendationImpact,recommendationMetadataState,recommendationResourceType,recommendationTypeId,tags
Set minimum instance count to 2 for app service,azure-resources/Web/serverFarms/recommendations.yaml,855ca19a-6518-4f2e-9e5a-01796fbca9f8,True,"[{'name': 'Ultimate guide to running healthy apps in the cloud', 'url': 'https://azure.github.io/AppService/2020/05/15/Robust-Apps-for-the-cloud.html'}]","App Service should be configured with a minimum of two instances for production workloads. If apps have a longer warmup time a minimum of three instances should be used.
",True,Improves app performance,Scalability,High,Active,Microsoft.Web/serverFarms,e987dcce-fd2c-4683-8abf-f1a34bbad737,[]
Enable diagnostics logging,azure-resources/Web/sites/recommendations.yaml,493f6079-3bb6-4a56-96ba-ab3248474cb1,False,"[{'name': 'Enable diagnostics logging for apps in Azure App Service', 'url': 'https://learn.microsoft.com/azure/app-service/troubleshoot-diagnostic-logs'}]","Enabling diagnostics logging for your Azure App Service is crucial for monitoring and diagnostics, including both application logging and web server logging.
",False,Monitoring and Alerting,MonitoringAndAlerting,Low,Active,Microsoft.Web/sites,,[]
Monitor Performance,azure-resources/Web/sites/recommendations.yaml,a7e8bb3d-8ceb-442d-b26f-007cd63f9ffc,False,"[{'name': 'Application Insights', 'url': 'https://learn.microsoft.com/azure/application-insights/app-insights-overview'}]","Use Application Insights to monitor app performance and load behavior, offering real-time insights, issue diagnosis, and root-cause analysis. It supports ASP.NET, ASP.NET Core, Java, and Node.js on Azure App Service, now with built-in monitoring.
",True,Real-time insights and issue diagnosis,MonitoringAndAlerting,High,Active,Microsoft.Web/sites,,[]
Separate web apps from web APIs,azure-resources/Web/sites/recommendations.yaml,78a5c033-ff51-4332-8a71-83464c34494b,False,"[{'name': 'Resiliency checklist for specific Azure services', 'url': 'https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#app-service'}]","If your solution includes both a web front end and a web API, decomposing them into separate App Service apps facilitates solution decomposition by workload, allowing for independent scaling. Initially, you can deploy both in the same plan and separate them for independent scaling when necessary.
",False,"Independent scaling, easier management",Scalability,Low,Active,Microsoft.Web/sites,,[]
Create a separate storage account for logs,azure-resources/Web/sites/recommendations.yaml,3f9ddb59-0bb3-4acb-9c9b-99aa1776f0ab,False,"[{'name': 'Resiliency checklist', 'url': 'https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#app-service'}]","Creating a separate storage account for logs and not using the same one for application data prevents logging activities from reducing application performance by ensuring that the resources dedicated to handling application data are not burdened by logging processes.
",True,Improves app performance,Scalability,Medium,Active,Microsoft.Web/sites,,[]
Deploy to a staging slot,azure-resources/Web/sites/recommendations.yaml,a1d91661-32d4-430b-b3b6-5adeb0975df7,True,"[{'name': 'Set up staging environments in Azure App Service', 'url': 'https://learn.microsoft.com/azure/app-service-web/web-sites-staged-publishing'}]","Create a deployment slot for staging to deploy updates, verify them, and ensure all instances are warmed up before production swap, reducing bad update chances. An LKG slot allows easy rollback to a previous good deployment if issues arise later, enhancing reliability.
",False,Safer updates and easy rollback,OtherBestPractices,Low,Active,Microsoft.Web/sites,,[]
Store configuration as app settings for Web Sites,azure-resources/Web/sites/recommendations.yaml,0b80b67c-afbe-4988-ad58-a85a146b681e,True,"[{'name': 'Configure web apps in Azure App Service', 'url': 'https://learn.microsoft.com/azure/app-service-web/web-sites-configure'}]","Use app settings for configuration and define them in Resource Manager templates or via PowerShell to facilitate part of an automated deployment/update process for improved reliability.
",True,Enhanced reliability via automation,OtherBestPractices,Medium,Active,Microsoft.Web/sites,,[]
Store configuration as app settings for Web Site Slots,azure-resources/Web/sites/recommendations.yaml,0a535241-8dc4-4058-af03-f2fff0abad2a,True,"[{'name': 'Configure web apps in Azure App Service', 'url': 'https://learn.microsoft.com/azure/app-service-web/web-sites-configure'}]","Use app settings for configuration and define them in Resource Manager templates or via PowerShell to facilitate part of an automated deployment/update process for improved reliability.
",True,Enhanced reliability via automation,OtherBestPractices,Medium,Active,Microsoft.Web/sites/slots,,[]
Enable Health check for App Services,azure-resources/Web/sites/recommendations.yaml,fd049c28-ae6d-48f0-a641-cc3ba1a3fe1d,True,"[{'name': 'Monitor the health of App Service instances', 'url': 'https://learn.microsoft.com/azure/app-service/monitor-instances-health-check?tabs=dotnet#enable-health-check'}]","Use Health Check for production workloads. Health check increases your application's availability by rerouting requests away from unhealthy instances, and replacing instances if they remain unhealthy. The Health check path should check critical components of your application.
",True,Enhanced reliability via automation,OtherBestPractices,High,Active,Microsoft.Web/sites,,[]
Configure network access restrictions,azure-resources/Web/sites/recommendations.yaml,aab6b4a4-9981-43a4-8728-35c7ecbb746d,True,"[{'name': 'Set up Azure App Service access restrictions', 'url': 'https://learn.microsoft.com/azure/app-service/app-service-ip-restrictions?tabs=azurecli'}]","Use network access restrictions to define a priority-ordered allow/deny list that controls network access to your app. Web application firewalls, such as the one available in Application Gateway, are recommended for protection of public-facing web applications.
",True,Enhanced security,Governance,Medium,Disabled,Microsoft.Web/sites,,[]
Enable auto heal for Functions App,azure-resources/Web/sites/recommendations.yaml,c6c4b962-5af4-447a-9d74-7b9c53a5dff5,True,"[{'name': 'Announcing the New Auto Healing Experience in App Service Diagnostics - Azure App Service', 'url': 'https://azure.github.io/AppService/2018/09/10/Announcing-the-New-Auto-Healing-Experience-in-App-Service-Diagnostics.html'}]","Auto Heal allows you to mitigate your apps when it runs into unexpected situations like HTTP server errors, resource exhaustion, etc. You can configure different triggers based on your need and choose to recycle the app to recover it from a bad state.
",False,Improved app availability,HighAvailability,Low,Active,Microsoft.Web/sites,,[]
No warmup trigger added to Function App,azure-resources/Web/sites/recommendations.yaml,52f368ee-1d77-4b34-92db-64be269642d0,False,"[{'name': 'Azure Functions Warmup Trigger', 'url': 'https://learn.microsoft.com/azure/azure-functions/functions-bindings-warmup?tabs=in-process%2Cnodejs-v4&pivots=programming-language-csharp#trigger'}]","Add a warmup trigger to pre-load custom dependencies during the pre-warming process so that your functions are ready to start processing requests immediately.
",False,Improved app availability,MonitoringAndAlerting,Medium,Active,Microsoft.Web/sites,,[]
Ensure unique hostid set for Function App,azure-resources/Web/sites/recommendations.yaml,0b06a688-0dd6-4d73-9f72-6666ff853ca9,False,"[{'name': 'Resource naming restrictions - Azure Resource Manager', 'url': 'https://learn.microsoft.com/azure/azure-resource-manager/management/resource-name-rules'}]","A host ID must be between 1 and 32 characters, contain only lowercase letters, numbers, and dashes, not start or end with a dash, and not contain consecutive dashes. The host ID value should be unique for all apps/slots you're running.
",False,Easier management,OtherBestPractices,Low,Active,Microsoft.Web/sites,,[]
Ensure Function App runs a supported version,azure-resources/Web/sites/recommendations.yaml,c9a278b7-024b-454b-bd54-41587c512b74,False,"[{'name': 'Migrate version 3.x to 4.x', 'url': 'https://learn.microsoft.com/azure/azure-functions/migrate-version-3-version-4?tabs=net6-in-proc%2Cazure-cli%2Cwindows&pivots=programming-language-csharp'}]","Beginning on December 13, 2022, function apps running on versions 2.x and 3.x of the Azure Functions runtime have reached the end of life (EOL) of extended support. We highly recommend you migrating your function apps to version 4.x of the Functions runtime.
",False,Better governance,OtherBestPractices,Medium,Active,Microsoft.Web/sites,,[]
Ensure FUNCTIONS_WORKER_RUNTIME is set properly,azure-resources/Web/sites/recommendations.yaml,7c608f46-46b2-4cc0-bbd6-1d457c16671c,False,"[{'name': 'FUNCTIONS_WORKER_RUNTIME', 'url': 'https://learn.microsoft.com/azure/azure-functions/functions-app-settings#functions_worker_runtime'}]","The FUNCTIONS_WORKER_RUNTIME setting in the Function App configuration should be set to the appropriate value based on the language you are using. This setting is used to determine the language worker that will be used to execute your functions.
",False,Better governance,OtherBestPractices,Medium,Active,Microsoft.Web/sites,,[]
Enable Application insights to monitor online endpoints for Azure Machine learning,azure-specialized-workloads/ai/recommendations.yaml,47176883-2602-455b-97f0-6c6a371bf928,False,"[{'name': 'Monitor online endpoints using Application Insights', 'url': 'https://learn.microsoft.com/azure/machine-learning/how-to-monitor-online-endpoints?view=azureml-api-2#using-application-insights'}]","Azure Machine Learning uses integration with Azure Monitor to monitor metrics and logs for online endpoints. Use the built-in features of Application Insights (such as Live metrics, Transaction search, Failures, and Performance) for further analysis.
",False,Monitoring endpoints gives visibility into metrics and logs,MonitoringAndAlerting,Medium,Active,Microsoft.Subscription/subscriptions,,['AI-GPT-RAG']
Create Application insights for Machine learning workspace in both the regions,azure-specialized-workloads/ai/recommendations.yaml,89928e61-bba8-4c25-99c5-a06a09849ecc,False,"[{'name': 'Data collection, retention, and storage in Application Insights', 'url': 'https://learn.microsoft.com/azure/azure-monitor/logs/data-retention-configure?tabs=portal-3%2Cportal-1%2Cportal-2'}]","Create Application Insights for machine learning workspace in both regions. To adjust the data-retention period, update and manage data retention in a Log Analytics workspace.
",False,Provides monitoring and data retention in DR region,DisasterRecovery,Medium,Active,Microsoft.Subscription/subscriptions,,['AI-GPT-RAG']
Use Azure Traffic Manager to route search requests via geo-located clients for failover redundancy.,azure-specialized-workloads/ai/recommendations.yaml,a6c8f3f3-199a-4a13-aaf0-eb51eed5352e,False,"[{'name': 'Reliability in Azure AI Search', 'url': 'https://learn.microsoft.com/azure/search/search-reliability#fail-over-or-redirect-query-requests'}]","Azure Traffic Manager enhances redundancy by routing search requests to geo-located clients. If a primary search client or region fails, Traffic Manager redirects requests to a backup client in another region. This setup ensures continuous availability and seamless failover for search services.
",False,High availability,HighAvailability,Medium,Active,Microsoft.Subscription/subscriptions,,['AI-GPT-RAG']
Monitor service health and resource health for AVD,azure-specialized-workloads/avd/recommendations.yaml,0bf1a2bb-7617-4ab2-a784-e7ea40c5f01b,True,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/well-architected/azure-virtual-desktop/monitoring#resource-health'}]","Set up Service Health alerts so that you stay aware of service issues, planned maintenance, or other changes that might affect your Azure Virtual Desktop resources. Use Resource Health to monitor your VMs and storage solutions.
",True,Enhanced AVD error tracking and resolution,Governance,High,Disabled,Microsoft.Subscription/subscriptions,,['AVD']
Configure AVD Insights workbook,azure-specialized-workloads/avd/recommendations.yaml,0cf72d91-644d-4591-9bb7-84ba3f705a41,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/virtual-desktop/insights?tabs=monitor'}]","Configure AVD insights workbook template to monitor and troubleshoot AVD workloads across metrics, logs, events, and more. Both Production and DR workloads should be enabled with AVD Insights.
",True,Enhanced AVD monitoring and troubleshooting,MonitoringAndAlerting,High,Active,Microsoft.Subscription/subscriptions,,['AVD']
Ensure separate log analytics workspaces for Prod and DR,azure-specialized-workloads/avd/recommendations.yaml,89b4d8f6-6345-4d66-9012-c3fc2aef94e8,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/virtual-desktop/diagnostics-log-analytics'}]","Having separate Log Analytics ensures that your DR environment is fully operational for visibility of the metrics, performance, and other auditing tools your workload teams will rely on in the event of an incident.
",True,Improved DR visibility and operation,DisasterRecovery,Low,Active,Microsoft.Subscription/subscriptions,,['AVD']
Organize AVD resources using the AVD scale unit model described by the AVD landing zone methodology,azure-specialized-workloads/avd/recommendations.yaml,204b56b0-9710-4c16-b506-bafb5fb318ed,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-virtual-desktop/enterprise-scale-landing-zone'}]","Follow AVD Landing Zone best practices using multiple resource groups based on resource type and associated shared resources for AVD workloads.
",True,Enhanced organization and scalability,OtherBestPractices,Low,Active,Microsoft.Subscription/subscriptions,,['AVD']
Monitor and plan capacity for AVD resources,azure-specialized-workloads/avd/recommendations.yaml,ef4b3561-c85f-47cf-8cb0-51fae9ddf929,False,"[{'name': 'Capacity Planning', 'url': 'https://learn.microsoft.com/azure/well-architected/azure-virtual-desktop/business-continuity#capacity-planning'}]","Monitor and plan for subscription limits and API throttling limits. Keep track of resource usage within your subscription. Consider scaling across multiple subscriptions if further scaling is required.
To handle a large number of users, consider scaling horizontally by creating multiple host pools.
",True,"Avoids limits, ensures smooth scaling",DisasterRecovery,Low,Active,Microsoft.Subscription/subscriptions,,['AVD']
Ensure DNS regions are replicated to avoid single point of failure,azure-specialized-workloads/avd/recommendations.yaml,e1a34ac6-8761-4020-b537-d60c0be7514e,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/architecture/example-scenario/azure-virtual-desktop/azure-virtual-desktop-multi-region-bcdr'}]","Active Directory Domain Services (AD DS) integrated DNS/other should target Secondary/Tertiary customer DNS across multi-region zones. If using custom DNS, ensure there are redundant DNS servers to avoid a single point of failure.
",True,Improves uptime & resilience,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['AVD']
Implement a multi-region BCDR Plan,azure-specialized-workloads/avd/recommendations.yaml,0714d039-535e-468d-9732-e32b5c094faa,False,"[{'name': 'Multi-region BCDR', 'url': 'https://learn.microsoft.com/azure/architecture/example-scenario/wvd/azure-virtual-desktop-multi-region-bcdr'}]","It is recommended to adopt a multi-region deployment (active-active or active-passive) for AVD. Each region should contain at least identity, name resolution, AVD management resources, and session hosts in case of a primary region outage.
",True,Enhanced resilience and uptime,DisasterRecovery,High,Active,Microsoft.Subscription/subscriptions,,['AVD']
Create only one FSLogix file share per Storage Account,azure-specialized-workloads/avd/recommendations.yaml,ed1f0327-0914-49e8-9518-16acb0d6b8d6,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/storage/files/storage-files-scale-targets'}]","To maximize capacity and performance scaling it is recommended to creat only one file share per Azure files storage account, with this approach the single file share will be able to grow to the maximum capacities of the storage account.
",True,Enhanced scaling and performance,Scalability,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Create a dedicated FSLogix file share and setup per host pool,azure-specialized-workloads/avd/recommendations.yaml,ff916698-7507-4519-b545-c94dd81d73c5,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/virtual-desktop/create-host-pools-user-profile'}]","To maximize capacity and performance scaling of the file share service and avoid user's profile contention, it is recommended to create one file share target and FSLogix setup per host pool.
",True,Enhanced performance,Scalability,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Enable Azure backup for FSLogix storage account file shares,azure-specialized-workloads/avd/recommendations.yaml,0025ed2e-41f4-4ada-93c1-12484cef8b0c,False,"[{'name': 'FSLogix', 'url': 'https://learn.microsoft.com/fslogix/overview-what-is-fslogix'}]","It is recommended to enable backup on the FSLogix Storage Account. Ensuring the user profiles are resilient will allow user data and experience to be consistent through outages.
",True,Ensures data resilience and consistency,HighAvailability,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Implement RDP shortpath for public or managed networks,azure-specialized-workloads/avd/recommendations.yaml,3835b4b3-0479-4be8-9ffd-34ae29fa33b9,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/virtual-desktop/rdp-shortpath?tabs=managed-networks'}]","RDP Shortpath establishes a direct UDP-based connection between a client and the session host. By default, RDP tries to use UDP and falls back to TCP if needed. UDP transport offers better connection reliability and consistent latency.
",True,Better reliability and consistent latency,OtherBestPractices,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Ensure AVD session hosts connect to control plane & allow UDP ports for RDP shortpath,azure-specialized-workloads/avd/recommendations.yaml,e718ac1a-ebab-4f75-9e4a-1a5ccef20d1f,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/virtual-desktop/troubleshoot-rdp-shortpath'}]","Ensure AVD session hosts can communicate with the AVD control plane and that UDP ports are open if used. Validate VM connectivity to the AVD Control Plane and confirm UDP TURN port accessibility. Whitelist global URLs and ensure UDP/TURN ports are open for smooth user connections.
",True,Enhanced performance & user experience,OtherBestPractices,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Ensure virtual networks have route tables/route server configured for all regions,azure-specialized-workloads/avd/recommendations.yaml,db1727d1-5c8e-4a01-a31e-f0d58cfd95b1,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering#need-for-redundant-connectivity-solution'}]","For high availability connections back to on-premises data centers should consider backup paths across the regions that have been utilized. Ensure redundancy in routing by having a secondary route table in the secondary region.
",True,Enhanced availability & routing,HighAvailability,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Ensure virtual networks isolation with separate IP space and NSGs for Prod and DR,azure-specialized-workloads/avd/recommendations.yaml,37d1091b-e599-4548-a067-a9286be16e45,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/cloud-adoption-framework/ready/azure-best-practices/plan-for-ip-addressing'}]","NSG and ASG per AVD persona and IP space per Prod/DR regions. Plan IP addressing to avoid overlaps between on-premises and Azure regions, preventing major contention challenges.
",True,Enhances security and prevents IP conflicts,BusinessContinuity,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Configure static routes for session hosts to directly access the AVD control plane subnet,azure-specialized-workloads/avd/recommendations.yaml,1c6c97d7-4d03-4f53-985d-fa239f715173,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/virtual-network/service-tags-overview'}]","Ensure Route Tables have static routes for session host traffic targeting the AVD control plane to go directly to the internet (next hop). This avoids delays from additional hops or inspections in trusted traffic communication.
",True,Enhanced performance and Disaster Recovery,OtherBestPractices,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Create updated image version and replace session hosts rather than updating host directly,azure-specialized-workloads/avd/recommendations.yaml,2831dab9-6a43-44a1-8aec-90a8e84894bc,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/training/modules/create-manage-session-host-image/'}]","Establish a process for handling image updates in your AVD environment. Instead of updating session hosts directly, create a new version of the updated image. This involves creating and configuring a golden image with the necessary updates and configurations.
",True,Ensures consistency; minimizes drift,OtherBestPractices,Low,Active,Microsoft.Subscription/subscriptions,,['AVD']
Ensure the standard FSLogix configuration is deployed,azure-specialized-workloads/avd/recommendations.yaml,c15b2b73-52a1-4db2-88dd-d592424ff4e4,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/fslogix/reference-configuration-settings?tabs=profiles'}]","Ensure all session hosts have the standard FSLogix configuration deployed. Regularly validate settings for consistency and alignment with best practices.
",True,Optimized session reliability and performance,OtherBestPractices,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Configure Diagnostic Settings on FSLogix storage and capture session hosts FSLogix events,azure-specialized-workloads/avd/recommendations.yaml,483f5a00-84a0-49f7-903b-ef6f1fc0c389,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/fslogix/troubleshooting-events-logs-diagnostics'}]","Configure diagnostic settings on FSLogix storage and regularly monitor its metrics and logs for errors. While events can be reviewed locally on the Session Host, it is recommended to use AVD insights workbook to consolidate this information into a Log Analytics workspace.
",True,Enhanced AVD error tracking and resolution,MonitoringAndAlerting,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Manually install FSLogix updates,azure-specialized-workloads/avd/recommendations.yaml,d51e0a70-8b50-4be3-af8a-7c9065e47360,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/fslogix/how-to-install-fslogix'}]","Ensure a process to regularly check and update FSLogix agent. Upgrade to the latest version promptly to address bugs and meet support requirements. FSLogix releases hotfixes to resolve issues impacting deployments. Keeping FSLogix updated is crucial for support and reliability.
",True,Enhanced reliability & support,OtherBestPractices,Low,Active,Microsoft.Subscription/subscriptions,,['AVD']
Turn on continuous availability for ANF,azure-specialized-workloads/avd/recommendations.yaml,9b2301af-9cac-4f1a-871a-f17475d01812,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/virtual-desktop/app-attach-overview?pivots=msix-app-attach'}]","Turn on Continuous Availability if using Azure Netapp Files.
Verify the number of users connecting to each file share to make sure the SMB path can handle the number of file connections.
",True,Enhanced stability & user limit checks,HighAvailability,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Use dedicated file share for App attach and include the storage in the disaster recovery plan,azure-specialized-workloads/avd/recommendations.yaml,7d9c96a6-1ce5-4cf0-ad1b-638a37f753cb,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/virtual-desktop/app-attach-overview?pivots=msix-app-attach'}]","App Attach packages should be on a separate share from profiles and backed up. Requirements vary based on the number of packaged applications. Test your applications to understand your needs. Ensure the file share is in the same Azure region as your session hosts.
",True,Enhances performance and scalability,DisasterRecovery,Medium,Active,Microsoft.Subscription/subscriptions,,['AVD']
Ensure resilient deployment of key vaults for AVD Host Pools,azure-specialized-workloads/avd/recommendations.yaml,1f57434f-f884-41f3-b818-129bbe3c5d3b,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/key-vault/general/disaster-recovery-guidance'}]","To ensure continuous availability and disaster recovery readiness, provision a secondary Key Vault in a secondary region. In case of a primary region failure, the secondary Key Vault will ensure critical secrets remain accessible for deployments in the secondary region.
",True,Ensures DR readiness and access,DisasterRecovery,High,Active,Microsoft.Subscription/subscriptions,,['AVD']
Deploy multiple domain controllers across availability zones in each region with AVD session hosts.,azure-specialized-workloads/avd/recommendations.yaml,d61f6ee8-de1b-4fd9-9ce3-316cfe11ee05,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/architecture/example-scenario/azure-virtual-desktop/azure-virtual-desktop-multi-region-bcdr'}]","Deploy multiple domain controllers on Azure VMs across availability zones with AVD session hosts. This removes on-premises dependencies and improves performance with a shorter authentication path. This doesn't apply to Microsoft Entra ID or Entra Domain Services joined session hosts.
",True,Enhanced identity resilience,DisasterRecovery,High,Active,Microsoft.Subscription/subscriptions,,['AVD']
Deploy two or more DNS servers across availability zones in each region with AVD session hosts.,azure-specialized-workloads/avd/recommendations.yaml,99bf5c94-aa68-4bb3-8b7f-45d1c5f09b5d,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/azure/architecture/example-scenario/identity/adds-extend-domain#reliability'}]","Deploy custom DNS servers on Azure VMs across availability zones in the same region as session hosts. This removes on-premises dependencies and improves performance by shortening the name resolution path.
",True,Enhanced reliability and performance,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['AVD']
Use the AVS Interconnect feature to connect private clouds in different availability zones,azure-specialized-workloads/avs/recommendations.yaml,726abfe3-adae-4a6d-8eb8-4b27a7214ca1,False,"[{'name': 'Connect Private Clouds in the same region', 'url': 'https://learn.microsoft.com/azure/azure-vmware/connect-multiple-private-clouds-same-region'}]","Use the Interconnect feature for direct communication between private clouds in different availability zones, enabling connectivity between the private clouds management and workload networks.
",True,Enhanced private cloud connectivity,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['AVS']
Integrate LDAPS Identity with dual sources for enhanced NSX and vCenter security,azure-specialized-workloads/avs/recommendations.yaml,c2794660-ffd7-4da3-96ba-5d546b70b1c6,False,"[{'name': 'Set an external identity source for vCenter', 'url': 'https://learn.microsoft.com/azure/azure-vmware/configure-identity-source-vcenter'}]","Ensure two external identity sources are configured for NSX and vCenter Server. The VMware vCenter Server and NSX Manager use these for authentication with external identities.
",True,Continuous login access during maintenances,BusinessContinuity,High,Active,Microsoft.Subscription/subscriptions,,['AVS']
Use HCX Network Extension High Availability,azure-specialized-workloads/avs/recommendations.yaml,bce16eee-0933-4baa-ab4d-8d1bb5653fc2,False,"[{'name': 'HCX Network extension high availability', 'url': 'https://learn.microsoft.com/azure/azure-vmware/configure-hcx-network-extension-high-availability'}]","Enable Network Extension High Availability for appliance failure tolerance in HCX service. It pairs selected appliances for Active Standby configuration, ensuring high availability and quick recovery, keeping configurations in-service despite failures.
",True,Improves HCX service continuity,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['AVS']
Verify Management Networks are not extended with HCX Network Extension,azure-specialized-workloads/avs/recommendations.yaml,6be9a543-cf82-4926-82ea-7e1f1ffaad80,False,"[{'name': 'Requirements for Network Extension', 'url': 'https://docs.vmware.com/en/VMware-HCX/4.8/hcx-user-guide/GUID-0C746416-850E-46F7-85DD-4D4326A23785.html'}]","Do not extend the network used by the HCX Management devices to ensure the network's security and stability.
",True,Enhanced network safety and performance,OtherBestPractices,High,Active,Microsoft.Subscription/subscriptions,,['AVS']
Verify vSAN FTT configuration aligns with the cluster size,azure-specialized-workloads/avs/recommendations.yaml,0943aa90-e3db-4c61-aef1-782b6a6a3881,False,"[{'name': 'Use fault domains', 'url': 'https://learn.microsoft.com/azure/well-architected/azure-vmware/application-platform#use-fault-domains'}]","The Azure VMware Solution's service SLA is influenced by vSAN storage policies, which change based on cluster size. For clusters over 6 hosts, an FTT-2 policy (RAID-1 or RAID-6) is advised. FTT refers to the Fault Tolerance feature.
",True,Enhanced cluster reliability,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['AVS']
Align ExpressRoute configuration with best practices for circuit resilience,azure-specialized-workloads/avs/recommendations.yaml,6f573d60-be93-4f18-8016-42e923e3c05e,False,"[{'name': 'APRL guidance for ExpressRoute circuits', 'url': 'https://azure.github.io/Azure-Proactive-Resiliency-Library/services/networking/expressroute-circuits'}]","Microsoft suggests using two or more ExpressRoute circuits at distinct peering locations for critical workloads. Connect these circuits and your Azure VMware Solutions private clouds using Global Reach.
",True,Enhanced circuit resilience for Azure VMware,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['AVS']
Deploy two or more circuits in different peering locations when using stretched clusters,azure-specialized-workloads/avs/recommendations.yaml,91c84596-1c41-48fe-8d5e-3f817e6a273b,False,"[{'name': 'Deploy vSAN streched cluster', 'url': 'https://learn.microsoft.com/azure/azure-vmware/deploy-vsan-stretched-clusters#deploy-a-stretched-cluster-private-cloud'}]","Azure VMware Solution vSAN stretched clusters cover 2 Availability Zones plus a third for witness. Use ExpressRoute for added resilience by deploying two circuits in different locations. With Global Reach, create a mesh topology by connecting on-premises circuits to Azure's managed circuits.
",True,Enhanced resilience and connectivity,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['AVS']
Deploy dual Azure VMware Solution clouds in different regions for disaster recovery,azure-specialized-workloads/avs/recommendations.yaml,bdac462a-2eda-4a67-887d-46d58f141afe,False,"[{'name': 'Private Clouds in two regions', 'url': 'https://learn.microsoft.com/azure/azure-vmware/move-azure-vmware-solution-across-regions'}]","Two Azure VMware Solution private clouds can be deployed in different regions for business continuity, implementing a mesh network topology based on ExpressRoute Gateway Connections and Global Reach Connections.
",True,Enhanced disaster recovery,DisasterRecovery,High,Active,Microsoft.Subscription/subscriptions,,['AVS']
Create a HCX Snapshot ahead of either a maintenance activity or a crucial HCX operation,azure-specialized-workloads/avs/recommendations.yaml,1f25a3d8-ac67-4b84-96c5-9304bfa8a164,False,"[{'name': 'Take a snapshot of VMware HCX Cloud Manager', 'url': 'https://learn.microsoft.com/azure/azure-vmware/use-hcx-run-commands#take-a-snapshot-of-vmware-hcx-cloud-manager'}]","Use Run command to take a snapshot of HCX Manager before making any critical changes to HCX Manager. Additionally, capture snapshot for HCX Manager before initiating a maintenance activity.
",True,Improves HCX service continuity,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['AVS']
Ensure File shares that stores jobs metadata are accessible from all head nodes,azure-specialized-workloads/hpc/recommendations.yaml,4c78fab4-845a-495d-ab14-3ad51de53a2a,False,"[{'name': 'Learn More', 'url': 'https://learn.microsoft.com/powershell/high-performance-computing/hpcpack-ha-cloud?view=hpc19-ps#hpc-pack-cluster-shares'}]","Currently in all HPC Pack ARM templates we create the cluster share on one of the head node which is not highly available.
",False,Enhances job metadata availability,HighAvailability,High,Active,Microsoft.Subscription/subscriptions,,['HPC']
